Facility_ID,FacilityName,StreetNo,StreetName,StreetType,SuburbTown,Postcode,Latitude,Longitude,FaciltySportPlayedID,SportsPlayed,FacilityAge,FacilityCondition,FacilityUpgradeAge,LGA
YARRAC10989,Fairlea Ovals,,Yarra Bend,Road,Fairfield,3078.0,-37.795643,145.00771799999998,17784,Cricket,26 - 50 Years,1. Very Poor,11 + Years,Yarra
YARRAC10971,Fletcher 1 and 2 Soccer Pitches and Graham Pavilion,,Swan,Street,Burnley,3121.0,-37.828576,145.020462,17756,Cricket,26 - 50 Years,3. Average,11 + Years,Yarra
YARRAC10972,Loughan Oval and Johnson Pavilion,,Swan,Street,Burnley,3121.0,-37.828576,145.020462,17759,Cricket,11 - 25 Years,3. Average,1 - 5 Years,Yarra
YARRAC11021,Mc Cutcheon Oval,,Yarra Bend,Road,Fairfield,3078.0,-37.799975,145.008575,17828,Cricket,,,,Yarra
YARRAC10985,Ramsden Street Oval and Pavilion,,Ramsden,Street,Fairfield,3078.0,-37.789873,145.00311100000002,17780,Cricket,26 - 50 Years,2. Poor,Upgrade in progress,Yarra
YARRAC10963,Sir Herbert Olney Oval,,Yarra Bend,Road,Abbotsford,3067.0,-37.795643,145.00771799999998,17745,Cricket,26 - 50 Years,2. Poor,11 + Years,Yarra
YARRAC11020,W J COX,,Yarra Bend,Road,Fairfield,3078.0,-37.799975,145.008575,17827,Cricket,26 - 50 Years,1. Very Poor,11 + Years,Yarra
YARRAC10995,W T Peterson Oval & Edinburgh Gardens Change Rooms,,Brunswick,Street,Fitzroy,3065.0,-37.78753,144.982377,17793,Cricket,51 Years +,4. Good,1 - 5 Years,Yarra
YARRAC10990,Westfield Ovals,,Yarra Bend,Road,Fairfield,3078.0,-37.795643,145.00771799999998,17786,Cricket,,,,Yarra
YARRAC10965,WT Long Oval,,Yarra Bend,Road,Abbotsford,3067.0,-37.795643,145.00771799999998,17747,Cricket,,,,Yarra
YARRAC5306,Kew Boulevard,,Kew,Boulevard,Kew,3101.0,-37.806529,145.01012,27554,Cycling,,,,Boroondara
YARRAC5282,Yarra Boulevard Loop,,Yarra,Boulevard,Richmond,3121.0,-37.7937,145.01513,27531,Cycling,,,,Boroondara
YARRAC11054,All Seasons Personal Fitness,41,Bridge,Road,Richmond,3121.0,-37.817479,144.99123899999998,17870,Gym / Fitness,,,,Yarra
YARRAC11055,Andrew Baxter Body Concepts Studio,30,Cremorne,Street,Richmond,3121.0,-37.826115,144.990736,17871,Gym / Fitness,,,,Yarra
YARRAC11034,Anytime Fitness Alphington,738,Heidelberg,Road,Alphington,3067.0,-37.780993,145.031394,17850,Gym / Fitness,,,,Yarra
YARRAC11056,Anytime Fitness Richmond,8/53,Coppin,Street,Richmond,3121.0,-37.820398,145.003818,17872,Gym / Fitness,,,,Yarra
YARRAC11019,Australian Institute of Fitness,405,Church,Street,Richmond,3121.0,-37.824921999999994,144.998156,17826,Gym / Fitness,,,,Yarra
YARRAC11057,Balance & Control Pilates Studio,474,Victoria,Street,Richmond,3121.0,-37.811510999999996,145.007549,17873,Gym / Fitness,,,,Yarra
YARRAC10981,Collingwood Housing Estate Gymnasium,,Hoddle,Street,Collingwood,3066.0,-37.80287,144.992863,17773,Gym / Fitness,11 - 25 Years,3. Average,6 - 10 Years,Yarra
YARRAC10979,Collingwood Leisure Centre,,Turnbull,Street,Clifton Hill,3068.0,-37.787996,144.994351,17770,Gym / Fitness,26 - 50 Years,5. Very Good,< 1 Years,Yarra
